,Actual Profit
0,27.756
1,6.36
2,29.73
3,-284.256
4,140.4
5,-12.675
6,0.0
7,7.3356
8,4.13992
9,52.416
10,10.38
11,53.844
12,10.058
13,46.95
14,34.974
15,-41.265
16,3.15
17,81.78
18,4.116
19,-19.0656
20,0.44
21,22.1701
22,181.74
23,7.28
24,10.77
25,-23.895
26,7.1796
27,-9.522
28,1415.43
29,36.0
30,17.52
31,5.76
32,11.1664
33,58.59
34,216.72
35,82.04
36,15.42
37,15.9
38,-7.7247
39,180.06
40,29.7
41,67.65
42,23.7993
43,17.76
44,182.82
45,1.2
46,6.06
47,-2.24
48,8.19
49,-2.448
50,24.36
51,12.24
52,82.68
53,35.0142
54,4.496
55,-56.322
56,209.124
57,2.97
58,36.36
59,116.85
60,-9.8463
61,-4.488
62,-0.8532
63,12.0
64,88.803
65,12.96
66,28.56
67,5.565
68,208.08
69,7.02
70,5.44
71,36.4704
72,138.6
73,6.58
74,92.88
75,7.644
76,9.837
77,-207.03
78,-48.5082
79,2.19
80,24.1918
81,6.3
82,4.08
83,0.48
84,3.3
85,-14.4784
86,0.0
87,73.7
88,0.0
89,12.54
90,87.219
91,41.202
92,9.6048
93,7.4376
94,37.52
95,9.84
96,-53.94
97,51.75
98,0.3216
99,628.64
100,7.6146
101,-308.496
102,8.4
103,0.48
104,92.46
105,5.4236
106,0.84
107,64.35
108,3.08
109,89.32
110,9.27
111,14.88
112,-74.76
113,23.232
114,-443.528
115,78.96
116,277.717
117,16.98
118,27.261
119,1.3068
120,101.64
121,29.88
122,-287.736
123,101.16
124,-40.896
125,7.77
126,88.34
127,32.2514
128,1.5
129,7.8
130,31.52
131,0.0
132,301.968
133,22.95
134,5.4432
135,-15.6303
136,3.744
137,1.032
138,186.968
139,1.6356
140,19.8
141,80.3404
142,3.42
143,205.2
144,21.2512
145,10.554
146,6.78
147,9.9
148,-27.66
149,37.7972
150,4.62
151,7.92
152,14.94
153,-37.936
154,322.62
155,4.14
156,3.69
157,-28.756
158,2.37
159,-63.0056
160,37.38
161,8.232
162,5.9072
163,4.62
164,18.0
165,42.2
166,-28.686
167,11.403
168,0.96
169,89.4746
170,15.7872
171,52.44
172,-9.3
173,1.11
174,14.64
175,0.84
176,10.32
177,4.41
178,-34.196
179,73.44
180,2.1
181,2.76
182,93.15
183,23.4
184,40.32
185,128.4
186,-21.312
187,58.5052
188,8.2848
189,21.03
190,72.975
191,0.165
192,-221.633
193,381.6
194,41.2938
195,-29.688
196,1.248
197,0.0
198,-192.936
199,12.21
200,3.99
201,-56.175
202,6.048
203,8.3328
204,0.0
205,8.2
206,58.2358
207,199.7
208,455.2
209,-60.192
210,17.8152
211,39.24
212,-20.7162
213,2.22
214,13.08
215,14.31
216,102.96
217,4.992
218,54.96
219,-9.7902
220,34.26
221,20.52
222,83.52
223,4.92
224,-56.343
225,41.4
226,45.4206
227,17.28
228,166.051
229,147.36
230,13.8915
231,-19.5624
232,16.38
233,8.28
234,19.5
235,10.02
236,-38.22
237,6.84
238,-106.944
239,36.81
240,4.74
241,172.481
242,21.0
243,3.7224
244,92.328
245,-269.145
246,-2.304
247,43.6951
248,267.39
249,34.64
250,20.5114
251,70.92
252,-1.72
253,160.56
254,2.55
255,39.357
256,109.62
257,26.31
258,39.42
259,239.82
260,126.9
261,8.58
262,15.372
263,0.54
264,-26.1225
265,23.28
266,0.0
267,-12.225
268,-33.27
269,8.82
270,10.8864
271,-54.36
272,1.32
273,76.44
274,4.0
275,5.9384
276,-10.521
277,-201.825
278,6.068
279,35.76
280,14.4
281,2.196
282,51.84
283,13.14
284,25.32
285,11.25
286,15.84
287,10.26
288,23.9463
289,-24.84
290,11.16
291,105.84
292,8.1
293,-59.5155
294,4.4784
295,48.3855
296,-3.42
297,42.588
298,1072.44
299,-490.2
300,40.208
301,4.68
302,29.1375
303,12.36
304,-9.6
305,1.068
306,-68.64
307,7.2
308,311.897
309,24.78
310,-185.717
311,112.86
312,2.19
313,86.3892
314,9.06
315,-2.568
316,5.56
317,24.498
318,16.44
319,2.61
320,6.2208
321,7.08
322,-56.175
323,80.52
324,246.48
325,211.887
326,-17.388
327,29.0325
328,11.7208
329,9.63
330,-2.032
331,-320.24
332,25.898
333,75.6624
334,26.82
335,40.274
336,26.56
337,11.2896
338,5.32
339,-2.349
340,35.14
341,-27.828
342,9.25
343,20.88
344,-5.34
345,9.912
346,0.72
347,49.8
348,44.3664
349,-3.558
350,5.31
351,3.5767
352,5.1792
353,-58.6872
354,4.0768
355,75.12
356,15.0
357,-28.26
358,0.0
359,78.5088
360,1.9125
361,3.36
362,19.188
363,-2.115
364,-526.722
365,2.6784
366,171.72
367,4.32
368,32.76
369,-7.9428
370,11.04
371,-8.2764
372,-88.125
373,-4.1712
374,21.24
375,132.624
376,33.76
377,238.653
378,791.46
379,7.7031
380,-58.56
381,-563.803
382,6.3504
383,45.795
384,11.2308
385,12.4416
386,94.56
387,14.04
388,7.056
389,108.468
390,4.2
391,2.61
392,-179.37
393,3.72
394,21.5928
395,-70.656
396,-20.223
397,1.59
398,59.0112
399,-14.544
400,6.36
401,-103.266
402,3.6018
403,27.6
404,18.09
405,27.0
406,73.785
407,18.0
408,-32.598
409,5.76
410,-336.784
