,Ship Mode,Mode Id
0,First Class,0
1,Standard Class,3
2,Standard Class,3
3,Second Class,2
4,First Class,0
5,Standard Class,3
6,First Class,0
7,Second Class,2
8,Same Day,1
9,Same Day,1
10,Same Day,1
11,First Class,0
12,Standard Class,3
13,Standard Class,3
14,Same Day,1
15,First Class,0
16,Same Day,1
17,Standard Class,3
18,Second Class,2
19,First Class,0
20,First Class,0
21,Same Day,1
22,Same Day,1
23,Same Day,1
24,Standard Class,3
25,Same Day,1
26,First Class,0
27,Second Class,2
28,Second Class,2
29,Same Day,1
30,First Class,0
31,First Class,0
32,Same Day,1
33,Same Day,1
34,Same Day,1
35,Same Day,1
36,Standard Class,3
37,First Class,0
38,Same Day,1
39,First Class,0
40,First Class,0
41,First Class,0
42,Second Class,2
43,First Class,0
44,Same Day,1
45,Second Class,2
46,Same Day,1
47,Second Class,2
48,First Class,0
49,Standard Class,3
50,Same Day,1
51,First Class,0
52,Standard Class,3
53,Standard Class,3
54,Second Class,2
55,Second Class,2
56,Standard Class,3
57,Second Class,2
58,First Class,0
59,Standard Class,3
60,Standard Class,3
61,Standard Class,3
62,First Class,0
63,First Class,0
64,Standard Class,3
65,Same Day,1
66,Standard Class,3
67,Standard Class,3
68,First Class,0
69,Standard Class,3
70,Same Day,1
71,Standard Class,3
72,Standard Class,3
73,Standard Class,3
74,Same Day,1
75,Second Class,2
76,Second Class,2
77,Same Day,1
78,Same Day,1
79,Second Class,2
80,First Class,0
81,Same Day,1
82,First Class,0
83,Standard Class,3
84,First Class,0
85,Same Day,1
86,First Class,0
87,First Class,0
88,Same Day,1
89,Same Day,1
90,First Class,0
91,Same Day,1
92,Second Class,2
93,First Class,0
94,Second Class,2
95,First Class,0
96,First Class,0
97,Standard Class,3
98,Same Day,1
99,Standard Class,3
100,Same Day,1
101,First Class,0
102,Same Day,1
103,First Class,0
104,Standard Class,3
105,Second Class,2
106,Standard Class,3
107,First Class,0
108,Second Class,2
109,Same Day,1
110,Same Day,1
111,First Class,0
112,Standard Class,3
113,Same Day,1
114,Same Day,1
115,First Class,0
116,First Class,0
117,First Class,0
118,Standard Class,3
119,Second Class,2
120,First Class,0
121,Same Day,1
122,Second Class,2
123,First Class,0
124,Standard Class,3
125,Same Day,1
126,Standard Class,3
127,Second Class,2
128,Same Day,1
129,First Class,0
130,Second Class,2
131,Standard Class,3
132,Second Class,2
133,Standard Class,3
134,Same Day,1
135,Same Day,1
136,Standard Class,3
137,Same Day,1
138,Same Day,1
139,Second Class,2
140,Second Class,2
141,Same Day,1
142,Standard Class,3
143,Second Class,2
144,First Class,0
145,Same Day,1
146,Second Class,2
147,Same Day,1
148,Second Class,2
149,Standard Class,3
150,Second Class,2
151,First Class,0
152,First Class,0
153,First Class,0
154,Standard Class,3
155,Second Class,2
156,Same Day,1
157,Standard Class,3
158,Same Day,1
159,Second Class,2
160,First Class,0
161,Standard Class,3
162,Same Day,1
163,Same Day,1
164,Same Day,1
165,Same Day,1
166,Same Day,1
167,Standard Class,3
168,Same Day,1
169,Second Class,2
170,Same Day,1
171,Standard Class,3
172,First Class,0
173,First Class,0
174,Same Day,1
175,Same Day,1
