,Ship Mode,Mode Id
0,First Class,0
1,Standard Class,3
2,Standard Class,3
3,Second Class,2
4,First Class,0
5,Standard Class,3
6,Same Day,1
7,Standard Class,3
8,Same Day,1
9,Same Day,1
10,Same Day,1
11,Second Class,2
12,Second Class,2
13,Standard Class,3
14,Same Day,1
15,First Class,0
16,Same Day,1
17,Standard Class,3
18,First Class,0
19,Same Day,1
20,First Class,0
21,Same Day,1
22,Same Day,1
23,Same Day,1
24,Standard Class,3
25,Same Day,1
26,First Class,0
27,Second Class,2
28,Second Class,2
29,Same Day,1
30,First Class,0
31,First Class,0
32,Same Day,1
33,Same Day,1
34,Same Day,1
35,Same Day,1
36,Standard Class,3
37,First Class,0
38,Standard Class,3
39,First Class,0
40,First Class,0
41,Second Class,2
42,Standard Class,3
43,Standard Class,3
44,Same Day,1
45,Second Class,2
46,Same Day,1
47,Standard Class,3
48,First Class,0
49,Standard Class,3
50,Same Day,1
51,Standard Class,3
52,Standard Class,3
53,First Class,0
54,Standard Class,3
55,First Class,0
56,Standard Class,3
57,Standard Class,3
58,Second Class,2
59,Second Class,2
60,Standard Class,3
61,Standard Class,3
62,Second Class,2
63,Standard Class,3
64,Standard Class,3
65,Same Day,1
66,Second Class,2
67,Second Class,2
68,First Class,0
69,Standard Class,3
70,Same Day,1
71,Standard Class,3
72,Second Class,2
73,Standard Class,3
74,Same Day,1
75,Second Class,2
76,Standard Class,3
77,Standard Class,3
78,Same Day,1
79,Second Class,2
80,Standard Class,3
81,Same Day,1
82,First Class,0
83,Standard Class,3
84,Same Day,1
85,Same Day,1
86,Standard Class,3
87,First Class,0
88,Same Day,1
89,Same Day,1
90,First Class,0
91,Same Day,1
92,Second Class,2
93,Same Day,1
94,Standard Class,3
95,First Class,0
96,First Class,0
97,Standard Class,3
98,First Class,0
99,Second Class,2
100,Same Day,1
101,First Class,0
102,Same Day,1
103,First Class,0
104,Standard Class,3
105,Standard Class,3
106,Standard Class,3
107,First Class,0
108,Second Class,2
109,Same Day,1
110,Same Day,1
111,Same Day,1
112,First Class,0
113,Same Day,1
114,Same Day,1
115,Standard Class,3
116,First Class,0
117,Second Class,2
118,Standard Class,3
119,First Class,0
120,Second Class,2
121,Same Day,1
122,Standard Class,3
123,Standard Class,3
124,Standard Class,3
125,Same Day,1
126,Standard Class,3
127,First Class,0
128,Same Day,1
129,First Class,0
130,Second Class,2
131,Second Class,2
132,First Class,0
133,Standard Class,3
134,Second Class,2
135,Same Day,1
136,Standard Class,3
137,Standard Class,3
138,Same Day,1
139,First Class,0
140,Standard Class,3
141,Same Day,1
142,Standard Class,3
143,Same Day,1
144,Same Day,1
145,Same Day,1
146,Second Class,2
147,Same Day,1
148,Second Class,2
149,Standard Class,3
150,Standard Class,3
151,First Class,0
152,First Class,0
153,Second Class,2
154,Standard Class,3
155,First Class,0
156,Same Day,1
157,Standard Class,3
158,Same Day,1
159,Standard Class,3
160,Second Class,2
161,Standard Class,3
162,Same Day,1
163,Standard Class,3
164,Same Day,1
165,First Class,0
166,Same Day,1
167,Standard Class,3
168,First Class,0
169,Same Day,1
170,Same Day,1
171,Standard Class,3
172,Second Class,2
