,Product ID,Quantity,Sales,Profit,discount
0,FUR-ADV-10000183,20,392.052,-657.348,withDiscount
0,FUR-ADV-10000183,11,582.78,5.61,withOutDiscount
1,FUR-ADV-10000188,3,24.990000000000002,-26.759999999999998,withDiscount
1,FUR-ADV-10000188,4,99.96,30.96,withOutDiscount
2,FUR-ADV-10001283,2,66.672,-111.168,withDiscount
2,FUR-ADV-10001283,1,111.12,22.2,withOutDiscount
3,FUR-ADV-10001659,2,10.26,-15.78,withDiscount
3,FUR-ADV-10001659,8,136.8,32.64,withOutDiscount
4,FUR-ADV-10001855,1,10.548,-8.712,withDiscount
4,FUR-ADV-10001855,3,79.11,21.330000000000002,withOutDiscount
5,FUR-ADV-10002601,2,30.96,-22.74,withDiscount
5,FUR-ADV-10002601,9,464.40000000000003,222.75,withOutDiscount
6,FUR-ADV-10002889,4,77.472,-104.688,withDiscount
6,FUR-ADV-10002889,15,726.3000000000001,43.199999999999996,withOutDiscount
7,FUR-ADV-10003326,2,40.14,18.84,withOutDiscount
7,FUR-ADV-10003326,2,14.049,-7.2509999999999994,withDiscount
8,FUR-ADV-10004223,1,51.39,14.88,withOutDiscount
8,FUR-ADV-10004223,1,15.417,-21.093,withDiscount
9,FUR-ADV-10004395,6,252.36,126.18,withOutDiscount
9,FUR-ADV-10004395,5,75.708,-29.442000000000004,withDiscount
10,FUR-ADV-10004718,5,100.64999999999999,20.099999999999998,withOutDiscount
10,FUR-ADV-10004718,4,24.156,-40.284,withDiscount
11,FUR-BAR-10003532,8,2171.16,-2750.28,withDiscount
11,FUR-BAR-10003532,1,904.65,289.47,withOutDiscount
12,FUR-BAR-10004553,2,252.696,-322.224,withDiscount
12,FUR-BAR-10004553,1,315.87,28.41,withOutDiscount
13,FUR-BEV-10002369,6,605.61,-1150.83,withDiscount
13,FUR-BEV-10002369,1,336.45,43.71,withOutDiscount
14,FUR-BEV-10003414,1,198.396,-59.544,withDiscount
14,FUR-BEV-10003414,1,495.99,238.05,withOutDiscount
15,FUR-BO-10000002,8,3321.6,166.07999999999998,withOutDiscount
15,FUR-BO-10000002,1,373.68,-20.76,withDiscount
16,FUR-BO-10000022,10,1524.15,-16.95,withDiscount
16,FUR-BO-10000022,4,677.4,60.96,withOutDiscount
17,FUR-BO-10000035,12,4945.32,2076.84,withOutDiscount
17,FUR-BO-10000035,9,3362.815,1211.458,withDiscount
18,FUR-BO-10000038,17,2389.044,-1672.596,withDiscount
18,FUR-BO-10000038,1,243.78,4.86,withOutDiscount
19,FUR-BO-10000071,9,1514.7,711.72,withOutDiscount
