,Product ID,Quantity,Sales,Profit,discount,group
0,FUR-FU-10004313,4,75.78,15.06,withDiscount,withDiscount
1,OFF-LA-10000134,8,19.712,6.8992,withDiscount,withDiscount
2,FUR-BO-10004467,26,1397.8602,-707.9289,withDiscount,withDiscount
3,OFF-BI-10003653,9,109.648,-17.252,withDiscount,withDiscount
4,FUR-HAR-10000870,1,17.757,-36.123,withDiscount,withDiscount
5,OFF-WIL-10000777,5,42.525000000000006,-56.775000000000006,withDiscount,withDiscount
6,OFF-EN-10000139,23,457.602,-136.118,withDiscount,withDiscount
7,OFF-ST-10000710,34,1458.114,293.274,withDiscount,withDiscount
8,OFF-TEN-10002835,8,859.446,-319.43399999999997,withDiscount,withDiscount
9,OFF-SU-10003515,15,402.3306,-220.4694,withDiscount,withDiscount
10,FUR-FU-10001471,17,676.704,171.2946,withDiscount,withDiscount
11,TEC-AC-10000263,2,32.736,-2.184,withDiscount,withDiscount
12,FUR-BO-10004585,14,1794.7440000000001,697.7040000000001,withDiscount,withDiscount
13,FUR-BO-10003631,10,655.512,-79.488,withDiscount,withDiscount
14,FUR-FU-10002722,4,181.656,-4.104,withDiscount,withDiscount
15,OFF-FA-10003496,2,9.456,-4.264,withDiscount,withDiscount
16,OFF-FA-10002393,2,14.52,-6.12,withDiscount,withDiscount
17,OFF-BI-10003719,17,152.195,-76.846,withDiscount,withDiscount
18,OFF-FA-10003218,5,53.46,18.36,withDiscount,withDiscount
19,TEC-PH-10004732,2,83.31,-48.33,withDiscount,withDiscount
20,TEC-PH-10002068,6,156.672,-44.448,withDiscount,withDiscount
21,OFF-PA-10004569,3,18.264,6.1641,withDiscount,withDiscount
22,FUR-CH-10000932,11,2791.71,907.192,withDiscount,withDiscount
23,OFF-EN-10001029,19,252.90449999999998,-111.3255,withDiscount,withDiscount
24,TEC-MOT-10003366,2,139.728,-104.832,withDiscount,withDiscount
25,FUR-CH-10000863,21,2309.9939999999997,-511.822,withDiscount,withDiscount
26,TEC-STA-10001232,4,89.568,-185.112,withDiscount,withDiscount
27,OFF-PA-10003994,5,69.975,-28.125,withDiscount,withDiscount
28,TEC-AC-10004114,6,196.752,56.5662,withDiscount,withDiscount
29,FUR-HAR-10000100,13,949.572,-759.798,withDiscount,withDiscount
30,OFF-BI-10004554,3,9.495,-8.775,withDiscount,withDiscount
31,OFF-BI-10004534,14,476.4312,6.871200000000002,withDiscount,withDiscount
32,TEC-AC-10001352,18,637.079,-250.1415,withDiscount,withDiscount
33,FUR-BO-10000112,19,1776.742,-55.21380000000001,withDiscount,withDiscount
34,OFF-STO-10003329,1,4.095,-5.205,withDiscount,withDiscount
35,OFF-WIL-10000146,2,38.736,-29.064,withDiscount,withDiscount
36,TEC-PH-10001428,13,922.835,19.5948,withDiscount,withDiscount
37,FUR-CH-10004478,16,671.28,-53.84,withDiscount,withDiscount
38,FUR-BO-10002906,9,590.6880000000001,-66.49199999999999,withDiscount,withDiscount
39,OFF-PA-10002539,11,279.048,34.188,withDiscount,withDiscount
40,OFF-PA-10000908,1,13.185,-7.935,withDiscount,withDiscount
41,FUR-TA-10001237,3,584.732,-251.548,withDiscount,withDiscount
42,FUR-FU-10002111,3,8.736,-4.8048,withDiscount,withDiscount
43,OFF-EN-10004053,3,49.1787,-18.5913,withDiscount,withDiscount
44,FUR-CH-10004652,12,165.184,-91.136,withDiscount,withDiscount
45,OFF-BI-10001758,6,9.612,-7.3692,withDiscount,withDiscount
46,FUR-CH-10003941,18,3887.1059999999998,-376.736,withDiscount,withDiscount
47,OFF-BI-10001119,5,14.775,-12.225,withDiscount,withDiscount
48,OFF-AR-10000715,11,145.035,-26.235,withDiscount,withDiscount
49,OFF-AR-10003156,2,16.256,1.2192,withDiscount,withDiscount
50,OFF-FA-10004359,2,11.88,-5.94,withDiscount,withDiscount
51,OFF-AR-10003514,5,15.92,2.5869999999999997,withDiscount,withDiscount
52,OFF-EN-10003040,9,188.424,63.59310000000001,withDiscount,withDiscount
53,OFF-BI-10000309,28,162.854,-54.4876,withDiscount,withDiscount
54,TEC-CO-10001382,2,223.722,52.182,withDiscount,withDiscount
55,OFF-BI-10000821,9,31.552,-1.748,withDiscount,withDiscount
56,TEC-AC-10002482,12,235.683,-86.15699999999998,withDiscount,withDiscount
57,OFF-BI-10001659,26,157.0338,1.8137999999999996,withDiscount,withDiscount
58,OFF-PA-10003309,14,72.576,25.401600000000002,withDiscount,withDiscount
59,FUR-TA-10002530,18,1645.682,-664.3119999999999,withDiscount,withDiscount
60,FUR-FU-10004704,16,511.578,-15.942000000000002,withDiscount,withDiscount
61,OFF-BI-10004334,4,18.084600000000002,-1.5954000000000002,withDiscount,withDiscount
62,TEC-AC-10003690,8,198.528,-49.632,withDiscount,withDiscount
63,OFF-AP-10003917,16,7941.22,2642.979,withDiscount,withDiscount
64,OFF-ROG-10001340,8,566.4,-373.91999999999996,withDiscount,withDiscount
65,TEC-MA-10002471,2,134.609,53.4894,withDiscount,withDiscount
66,OFF-BI-10001132,15,19.906,-21.250999999999998,withDiscount,withDiscount
67,OFF-SU-10003522,12,306.1071,93.7071,withDiscount,withDiscount
68,FUR-OFF-10002511,1,26.784,-62.496,withDiscount,withDiscount
69,TEC-PH-10002296,14,934.02,-231.0,withDiscount,withDiscount
70,TEC-PH-10004774,7,72.744,-15.4581,withDiscount,withDiscount
71,OFF-BI-10001613,2,5.16,0.16,withDiscount,withDiscount
72,TEC-MA-10000488,9,5279.9400000000005,167.997,withDiscount,withDiscount
73,OFF-AP-10003834,3,912.24,68.4,withDiscount,withDiscount
74,OFF-AP-10004136,3,24.588,-67.617,withDiscount,withDiscount
75,TEC-CO-10003506,8,2195.56,587.8009999999999,withDiscount,withDiscount
76,FUR-FU-10001126,13,253.656,4.056,withDiscount,withDiscount
77,OFF-PA-10001892,13,79.456,28.802799999999998,withDiscount,withDiscount
78,TEC-AC-10003276,9,1520.215,-131.91479999999999,withDiscount,withDiscount
79,TEC-PH-10004402,28,1790.0262,353.6256,withDiscount,withDiscount
80,OFF-PA-10003475,8,95.712,-22.368,withDiscount,withDiscount
81,OFF-SU-10001343,2,22.53,-17.13,withDiscount,withDiscount
82,TEC-CO-10004563,10,1397.241,-220.659,withDiscount,withDiscount
83,OFF-PA-10004998,2,19.296,2.856,withDiscount,withDiscount
84,OFF-LA-10001019,7,31.856,-7.763999999999999,withDiscount,withDiscount
85,TEC-PH-10002564,28,1339.1390000000001,-51.28099999999999,withDiscount,withDiscount
86,OFF-BI-10004436,14,85.7844,-10.8156,withDiscount,withDiscount
87,FUR-CH-10003841,10,1297.1370000000002,373.13739999999996,withDiscount,withDiscount
88,FUR-BO-10000269,7,397.152,20.552000000000007,withDiscount,withDiscount
89,OFF-SU-10001762,8,298.26,27.78,withDiscount,withDiscount
90,FUR-BO-10003541,7,2596.484,692.202,withDiscount,withDiscount
